19,26,26,26,18,18,26,26,26,18,18,26,26,26,22
21,0,0,0,17,20,0,0,0,17,20,0,0,0,21
21,0,0,0,17,16,18,18,18,16,20,0,0,0,21
17,18,18,18,16,16,16,16,16,16,16,18,18,18,20
17,24,24,24,24,28,17,24,20,25,24,24,24,24,20
17,18,18,18,18,18,28,0,25,18,18,18,18,18,20
17,16,16,16,16,20,0,0,0,17,16,16,16,16,20
17,16,16,16,16,20,0,0,0,17,16,16,16,16,20
17,24,24,24,24,24,22,0,19,24,24,24,24,24,20
17,18,18,18,18,22,17,18,20,19,18,18,18,18,20
17,16,16,16,16,16,16,16,16,16,16,16,16,16,20
17,24,24,24,16,16,16,16,16,16,16,24,24,24,20
21,0,0,0,17,16,24,24,24,16,20,0,0,0,21
21,0,0,0,17,20,0,0,0,17,20,0,0,0,21
25,26,26,26,24,24,26,26,26,24,24,26,26,26,28
